trip_id,arrival_time,departure_time,stop_id,stop_sequence
Viaje1-L1,06:15:00,06:20:00,5,1
viaje2-L1,06:50:00,06:56:00,5,1
Viaje3-L1,07:59:00,08:00:00,5,1
Viaje4-L1,08:25:00,08:30:00,5,1
Viaje5-L1,08:55:00,09:00:00,5,1
Viaje6-L1,09:55:00,10:00:00,5,1
Viaje7-L1,11:25:00,11:30:00,5,1
Viaje8-L1,12:16:00,12:17:00,5,1
Viaje9-L1,15:55:00,16:00:00,5,1
Viaje10-L1,16:25:00,16:30:00,5,1
Viaje11-L1,16:59:00,17:00:00,5,1
Viaje12-L1,17:55:00,18:00:00,5,1
Viaje13-L1,18:25:00,18:30:00,5,1
Viaje14-L1,19:00:00,19:05:00,5,1
Viaje15-L1,20:00:00,20:05:00,5,1
Viaje16-L1,20:29:00,20:30:00,5,1
Viaje1-L1,06:29:00,06:30:00,12,2
viaje2-L1,07:05:00,07:06:00,12,2
Viaje3-L1,08:09:00,08:10:00,12,2
Viaje37-L1,08:20:00,08:25:00,13,1
Viaje4-L1,08:39:00,08:40:00,12,2
viaje38-L1,08:50:00,08:55:00,13,1
Viaje5-L1,09:09:00,09:10:00,12,2
Viaje39-L1,09:20:00,09:25:00,13,1
Viaje6-L1,10:09:00,10:10:00,12,2
Viaje7-L1,11:39:00,11:40:00,12,2
Viaje8-L1,12:26:00,12:27:00,12,2
Viaje9-L1,16:09:00,16:10:00,12,2
Viaje10-L1,16:39:00,16:40:00,12,2
Viaje11-L1,17:09:00,17:10:00,12,2
Viaje12-L1,18:09:00,18:10:00,12,2
Viaje13-L1,18:39:00,18:40:00,12,2
Viaje14-L1,19:14:00,19:15:00,12,2
Viaje15-L1,20:14:00,20:15:00,12,2
Viaje16-L1,20:39:00,20:40:00,12,2
Viaje1-L1,06:32:00,06:33:00,13,3
viaje2-L1,07:08:00,07:09:00,13,3
Viaje3-L1,08:12:00,08:13:00,13,3
Viaje37-L1,08:27:00,08:28:00,13,1
Viaje4-L1,08:42:00,08:43:00,13,3
viaje38-L1,08:57:00,08:58:00,13,1
Viaje5-L1,09:12:00,09:13:00,13,3
Viaje39-L1,09:27:00,09:28:00,13,1
Viaje6-L1,10:12:00,10:13:00,13,3
Viaje7-L1,11:42:00,11:43:00,13,3
Viaje8-L1,12:29:00,12:30:00,13,3
Viaje9-L1,16:12:00,16:13:00,13,3
Viaje10-L1,16:42:00,16:43:00,13,3
Viaje11-L1,17:12:00,17:13:00,13,3
Viaje12-L1,18:12:00,18:13:00,13,3
Viaje13-L1,18:42:00,18:43:00,13,3
Viaje14-L1,19:17:00,19:18:00,13,3
Viaje15-L1,20:17:00,20:18:00,13,3
Viaje16-L1,20:42:00,20:43:00,13,3
Viaje1-L1,06:35:00,06:36:00,10,4
viaje2-L1,07:11:00,07:12:00,10,4
Viaje3-L1,08:15:00,08:16:00,10,4
Viaje37-L1,08:30:00,08:31:00,10,2
Viaje4-L1,08:45:00,08:46:00,10,4
viaje38-L1,09:00:00,09:01:00,10,2
Viaje5-L1,09:15:00,09:16:00,10,4
Viaje39-L1,09:30:00,09:31:00,10,2
Viaje6-L1,10:15:00,10:16:00,10,4
Viaje7-L1,11:45:00,11:46:00,10,4
Viaje8-L1,12:32:00,12:33:00,10,4
Viaje9-L1,16:15:00,16:16:00,10,4
Viaje10-L1,16:45:00,16:46:00,10,4
Viaje11-L1,17:15:00,17:16:00,10,4
Viaje12-L1,18:15:00,18:16:00,10,4
Viaje13-L1,18:45:00,18:46:00,10,4
Viaje14-L1,19:20:00,19:21:00,10,4
Viaje15-L1,20:20:00,20:21:00,10,4
Viaje16-L1,20:45:00,20:46:00,10,4
Viaje1-L1,06:38:00,06:39:00,11,5
viaje2-L1,07:14:00,07:15:00,11,5
Viaje3-L1,08:18:00,08:19:00,11,5
Viaje37-L1,08:33:00,08:34:00,11,3
Viaje4-L1,08:48:00,08:49:00,11,5
viaje38-L1,09:03:00,09:04:00,11,3
Viaje5-L1,09:18:00,09:19:00,11,5
Viaje39-L1,09:33:00,09:34:00,11,3
Viaje6-L1,10:18:00,10:19:00,11,5
Viaje7-L1,11:48:00,11:49:00,11,5
Viaje8-L1,12:35:00,12:36:00,11,5
Viaje9-L1,16:18:00,16:19:00,11,5
Viaje10-L1,16:48:00,16:49:00,11,5
Viaje11-L1,17:18:00,17:19:00,11,5
Viaje12-L1,18:18:00,18:19:00,11,5
Viaje13-L1,18:48:00,18:49:00,11,5
Viaje14-L1,19:23:00,19:24:00,11,5
Viaje15-L1,20:23:00,20:24:00,11,5
Viaje16-L1,20:48:00,20:49:00,11,5
Viaje1-L1,06:48:00,07:00:00,14,6
Viaje36-L1,07:20:00,07:22:00,14,1
viaje2-L1,07:25:00,07:32:00,14,6
Viaje35-L1,07:50:00,07:53:00,14,1
Viaje34-L1,08:15:00,08:20:00,14,1
Viaje3-L1,08:28:00,08:32:00,14,6
Viaje37-L1,08:43:00,08:50:00,14,4
Viaje4-L1,08:58:00,09:02:00,14,6
viaje38-L1,09:13:00,09:15:00,14,4
Viaje5-L1,09:28:00,09:32:00,14,6
Viaje39-L1,09:45:00,09:50:00,14,4
Viaje6-L1,10:28:00,10:32:00,14,6
Viaje7-L1,11:58:00,12:02:00,14,6
Viaje8-L1,12:45:00,12:49:00,14,6
Viaje9-L1,16:28:00,16:32:00,14,6
Viaje10-L1,16:58:00,17:02:00,14,6
Viaje11-L1,17:28:00,17:32:00,14,6
Viaje12-L1,18:28:00,18:34:00,14,6
Viaje13-L1,18:58:00,19:02:00,14,6
Viaje14-L1,19:33:00,19:34:00,14,6
Viaje15-L1,20:33:00,20:39:00,14,6
Viaje16-L1,20:58:00,21:02:00,14,6
Viaje1-L1,07:05:00,07:06:00,15,7
Viaje36-L1,07:27:00,07:28:00,15,2
viaje2-L1,07:37:00,07:38:00,15,7
Viaje35-L1,07:58:00,07:59:00,15,2
Viaje34-L1,08:25:00,08:26:00,15,2
Viaje3-L1,08:37:00,08:38:00,15,7
Viaje37-L1,08:55:00,08:56:00,15,5
Viaje4-L1,09:07:00,09:08:00,15,7
Viaje5-L1,09:37:00,09:38:00,15,7
Viaje39-L1,09:55:00,09:56:00,15,4
Viaje6-L1,10:37:00,10:38:00,15,7
Viaje7-L1,12:07:00,12:08:00,15,7
Viaje8-L1,12:54:00,12:55:00,15,7
Viaje9-L1,16:37:00,16:38:00,15,7
Viaje10-L1,17:07:00,17:08:00,15,7
Viaje11-L1,17:37:00,17:38:00,15,7
Viaje12-L1,18:39:00,18:40:00,15,7
Viaje13-L1,19:07:00,19:08:00,15,7
Viaje14-L1,19:39:00,19:40:00,15,7
Viaje15-L1,20:44:00,20:45:00,15,7
Viaje16-L1,21:07:00,21:08:00,15,7
Viaje1-L1,07:09:00,07:10:00,16,8
Viaje36-L1,07:31:00,07:32:00,16,3
viaje2-L1,07:41:00,07:42:00,16,8
Viaje35-L1,08:02:00,08:03:00,16,3
Viaje34-L1,08:29:00,08:30:00,16,3
Viaje3-L1,08:41:00,08:42:00,16,8
Viaje37-L1,08:59:00,09:00:00,16,6
Viaje4-L1,09:11:00,09:12:00,16,8
Viaje5-L1,09:41:00,09:42:00,16,8
Viaje39-L1,09:59:00,10:00:00,16,6
Viaje6-L1,10:41:00,10:42:00,16,8
Viaje7-L1,12:11:00,12:12:00,16,8
Viaje8-L1,12:58:00,12:59:00,16,8
Viaje9-L1,16:41:00,16:42:00,16,8
Viaje10-L1,17:11:00,17:12:00,16,8
Viaje11-L1,17:41:00,17:42:00,16,8
Viaje12-L1,18:43:00,18:44:00,16,8
Viaje13-L1,19:11:00,19:12:00,16,8
Viaje14-L1,19:43:00,19:44:00,16,8
Viaje15-L1,20:48:00,20:49:00,16,8
Viaje16-L1,21:11:00,21:12:00,16,8
Viaje1-L1,07:13:00,07:14:00,20,9
Viaje36-L1,07:35:00,07:36:00,20,4
viaje2-L1,07:45:00,07:46:00,20,9
Viaje35-L1,08:06:00,08:07:00,20,4
Viaje34-L1,08:33:00,08:34:00,20,4
Viaje3-L1,08:45:00,08:46:00,20,9
Viaje37-L1,09:03:00,09:04:00,20,7
Viaje4-L1,09:15:00,09:16:00,20,9
Viaje5-L1,09:45:00,09:46:00,20,9
Viaje39-L1,10:03:00,10:04:00,20,7
Viaje6-L1,10:45:00,10:46:00,20,9
Viaje7-L1,12:15:00,12:16:00,20,9
Viaje8-L1,13:02:00,13:03:00,20,9
Viaje9-L1,16:45:00,16:46:00,20,9
Viaje10-L1,17:15:00,17:16:00,20,9
Viaje11-L1,17:45:00,17:46:00,20,9
Viaje12-L1,18:47:00,18:48:00,20,9
