stop_id,stop_name,stop_lat,stop_lon,stop_code
1,Laja,-37.2819687,-72.7167759,3663884060
2,San Rosendo,-37.2639013,-72.7275895,3658439732
3,Buenuraqui,-37.2030055,-72.7700609,4455930414
4,Gomero,-37.1964188,-72.8352467,4455930416
5,Hualqui,-36.9805523,-72.9411329,4455930417
6,Talcamávida,-37.1649658,-72.9067981,4455930420
7,Unihue,-37.1190764,-72.9426845,4599130954
8,Quilacoya,-37.0545876,-72.9633124,4599130955
9,San Miguel,-37.0788458,-72.9581961,3797242623
10,Pedro Medina,-36.9257187,-73.0214211,4514589079
11,Chiguayante,-36.9153573,-73.0288408,4514590030
12,La Leonera,-36.9512437,-73.0131475,4514615375
13,Manquimávida,-36.9385989,-73.0112978,4514615376
14,Concepción,-36.8301581,-73.0610353,310000768
15,Lorenzo Arenas,-36.8082137,-73.0710622,332795804
16,UTFSM,-36.7838587,-73.085597,5583753385
17,El Arenal,-36.7255736,-73.116603,332793725
18,Mercado,-36.7119613,-73.1155382,2063360442
19,Hospital Las Higueras,-36.7396171,-73.1025529,4514677093
20,Los Cóndores,-36.7566703,-73.0916618,4514677144
21,Juan Pablo II,-36.8384342,-73.0979637,315019820
22,Diagonal Biobío,-36.8373845,-73.1180464,353772399
23,Alborada,-36.846867,-73.1309361,3369569831
24,Cardenal Raúl Silva Henríquez,-36.8984905,-73.1433861,4124945257
25,Lomas Coloradas,-36.8825028,-73.1395361,4593412639
26,Costa Mar,-36.8548032,-73.1328488,4593412640
27,El Parque,-36.8678229,-73.1359859,4593443220
28,Los Canelos,-36.9801863,-73.1628369,4124944293
29,Hito Galvarino,-36.9537909,-73.1567244,4124947356
30,Cristo Redentor,-36.9984065,-73.1627912,4124950639
31,Laguna Quiñenco,-37.0127009,-73.1580923,4124951369
32,Coronel,-37.0245655,-73.1507961,4124952607
33,Huinca,-36.9882322,-73.1631562,6329456006
34,Valle Chanco,-37.1373176,-72.9337146,4455930424
35,Los Acacios,-37.1559126,-72.9167522,311056941
